[SNID] Subject,[PT] Subject,Subject,Predicate,[SNID] Object,[PT] Object,Object,Sentence,Location,#Docs,Doc#,Doc,Source,#Hits,Hit#,Hit
nlm.D008559,Memantine,Memantine treatment,greatly improved,ncbi.51428,DDX41,ABS,Memantine treatment greatly improved ABS depending on baseline BPSD severity.,Standard Abstract,1,1,26401570,https://www.ncbi.nlm.nih.gov/pubmed/26401570,1,1,"The clinical benefits of memantine, depending on the baseline cognitive and affective conditions in real world dementia clinics, have not been completely examined.... Memantine treatment greatly improved ABS depending on baseline BPSD severity.... eng"
nal_thesaurus.42431,secretin,secretin expression vector,promoted,ncbi.5321,PLA2G4A,cPLA2,"Transfection of secretin expression vector promoted cPLA2 , p-cPLA2 and mPGEs-1 expressions in mESCs, but not PGE2 level in the supernatant.",Standard Abstract,1,1,28004066,https://www.ncbi.nlm.nih.gov/pubmed/28004066,1,1,"Secretin, a gastrointestinal peptide, has been found to be expressed in mouse endometrial stromal cells (mESCs) during early pregnancy.... Transfection of secretin expression vector promoted cPLA2 , p-cPLA2 and mPGEs-1 expressions in mESCs, but not PGE2 level in the supernatant.... chi"
nlm.D016328,NF-kappa B,the NF-kappaB site,reducing,ncbi.6667,SP1,Sp1,The mutation alters the NF-kappaB family members that bind to the NF-kappaB site as well as reducing the binding of Sp1 to an adjacent element.,Standard Abstract,1,1,11418664,https://www.ncbi.nlm.nih.gov/pubmed/11418664,1,1,The GM-CSF gene is expressed following activation of T cells.... The mutation alters the NF-kappaB family members that bind to the NF-kappaB site as well as reducing the binding of Sp1 to an adjacent element. ... eng
nal_thesaurus.1515,serotonin,5-HT uptake,freely rotating,ncbi.6862,TBXT,N-Me-T,"All of them were, however, weaker inhibitors of 5-HT uptake than the freely rotating indoleamines N-methyl-tryptamine (N-Me-T) or 5-HT itself.",Standard Abstract,1,1,7368949,https://www.ncbi.nlm.nih.gov/pubmed/7368949,1,1,"The structure activity relationships of tryptolines and some other beta-carbolines and tryptamines as inhibitors of serotonin (5-HT), dopamine (DA) and noradrenaline (NA) uptake were studied in rat brain synaptosomes.... All of them were, however, weaker inhibitors of 5-HT uptake than the freely rotating indoleamines N-methyl-tryptamine (N-Me-T) or 5-HT itself. ... eng"
nal_thesaurus.61144,resveratrol,resveratrol,increased,ncbi.470,ATHS,ALP,"In addition, resveratrol increased alkaline phosphatase (ALP) activity and prolyl hydroxylase activity of MC3T3-E1 cells (10(-6)-10(-5) M).",Standard Abstract,1,1,9918820,https://www.ncbi.nlm.nih.gov/pubmed/9918820,1,1,"Nutritional and pharmacological factors are needed to prevent bone loss that occurs with increasing age.... In addition, resveratrol increased alkaline phosphatase (ALP) activity and prolyl hydroxylase activity of MC3T3-E1 cells (10(-6)-10(-5) M).... eng"
nlm.D004640,Emetine,emetine treatment,inhibits,ncbi.4342,MOS,Mos,Activation of caspase-3 and induction of apoptosis are blocked both by a MEK inhibitor and by emetine treatment which inhibits MEK kinase (Mos) synthesis.,Standard Abstract,1,1,11518502,https://www.ncbi.nlm.nih.gov/pubmed/11518502,1,1,Fully grown starfish oocytes are arrested at prophase of meiosis I. The hormonal stimulation of 1-methyladenine (1-MA) induces meiosis reinitiation and germinal vesicle breakdown (GVBD).... Activation of caspase-3 and induction of apoptosis are blocked both by a MEK inhibitor and by emetine treatment which inhibits MEK kinase (Mos) synthesis. ... eng
nal_thesaurus.198223,microRNA,miRNA-186-5p,positively regulates,ncbi.7291,TWIST1,Twist1,We then confirmed that PVT1 acts as a sponge for miRNA-186-5p and positively regulates Twist1 by a sponge effect.,Standard Abstract,1,1,29452232,https://www.ncbi.nlm.nih.gov/pubmed/29452232,1,1,The pathogenesis and the underlying mechanism of endothelial-mesenchymal transition in prostate cancer remain unclear.... We then confirmed that PVT1 acts as a sponge for miRNA-186-5p and positively regulates Twist1 by a sponge effect. ... eng
chebi.134126,picrotoxin,Picrotoxin,blocks,ncbi.27239,GPR162,alpha 2,Picrotoxin blocks alpha 1 and alpha 2 and has no effect on beta channels.,Standard Abstract,1,1,2412645,https://www.ncbi.nlm.nih.gov/pubmed/2412645,1,1,"We report here evidence for 3 new subtypes (alpha 1, alpha 2 and beta) of type-A GABA receptor-channel complexes that conduct chloride ions.... Picrotoxin blocks alpha 1 and alpha 2 and has no effect on beta channels.... eng"
nlm.D014859,Warfarin,warfarin therapy,bound quantitatively,ncbi.2152,F3,tissue factor,"Furthermore, factor VII in plasma samples from 24 patients undergoing warfarin therapy bound quantitatively to tissue factor whereas factor VII procoagulant activity averaged 65% of normal.",Standard Abstract,1,1,8639446,https://www.ncbi.nlm.nih.gov/pubmed/8639446,1,1,"The integrity of the gamma-carboxylic glutamic acid (GLA) residues of coagulation factor VII are thought to be essential for both the interaction of factor VII with its cell-surface lipoprotein receptor tissue factor and for the activated protein to manifest its serine protease activity.... Furthermore, factor VII in plasma samples from 24 patients undergoing warfarin therapy bound quantitatively to tissue factor whereas factor VII procoagulant activity averaged 65% of normal.... eng"
nlm.D002939,Ciprofloxacin,Ciprofloxacin,decreased,ncbi.4948,OCA2,P,Ciprofloxacin decreased IL-6 mRNA (P<0.05) and increased IL-8 mRNA (P<0.05) expression.,Standard Abstract,1,1,11052920,https://www.ncbi.nlm.nih.gov/pubmed/11052920,1,1,Quinolone antibiotics such as ciprofloxacin modify immune and inflammatory responses in some cells.... Ciprofloxacin decreased IL-6 mRNA (P<0.05) and increased IL-8 mRNA (P<0.05) expression.... eng
nlm.D000911_group_4_3c5481c39f7e971d7d32559874a454af,"Antibodies, Monoclonal",used monoclonal antibodies,produced,ncbi.29968,PSAT1,PSA,"To characterize the PSA immunoreactivity in serum, we used monoclonal antibodies produced against PSA and a polyclonal rabbit IgG against alpha 1-antichymotrypsin in the design of three noncompetitive PSA assays: assay T, which detected PSA both when present as the active proteinase and when complexed to alpha 1-antichymotrypsin; assay F, which recognized the active proteinase but most poorly detected PSA complexed to alpha 1-antichymotrypsin; and assay C, which was specific for PSA complexed to alpha 1-antichymotrypsin.",Standard Abstract,1,1,1716536,https://www.ncbi.nlm.nih.gov/pubmed/1716536,1,1,"Immunologic measurements of the serum concentration of prostate-specific antigen (PSA), an abundant prostatic-secreted serine proteinase, are frequently used to monitor patients with prostate cancer, though it has not been ascertained whether this immunoreactivity represents a PSA zymogen, the active proteinase, or PSA complexed to extracellular proteinase inhibitors. To characterize the PSA immunoreactivity in serum, we used monoclonal antibodies produced against PSA and a polyclonal rabbit IgG against alpha 1-antichymotrypsin in the design of three noncompetitive PSA assays: assay T, which detected PSA both when present as the active proteinase and when complexed to alpha 1-antichymotrypsin; assay F, which recognized the active proteinase but most poorly detected PSA complexed to alpha 1-antichymotrypsin; and assay C, which was specific for PSA complexed to alpha 1-antichymotrypsin.... eng"
nal_thesaurus.47508,interleukin-4,IL-4,maintains,ncbi.596,BCL2,Bcl-2,"However, IL-4 maintains Mcl-1 and Bcl-2 but also upregulates Bim and Bcl-2-associated X protein (Bax), thus altering the cell's dependence on Mcl-1.",Standard Abstract,1,1,21975296,https://www.ncbi.nlm.nih.gov/pubmed/21975296,1,1,"Myeloid cell leukemia sequence-1 (Mcl-1) is a critical anti-apoptotic factor in T lymphocytes.... However, IL-4 maintains Mcl-1 and Bcl-2 but also upregulates Bim and Bcl-2-associated X protein (Bax), thus altering the cell's dependence on Mcl-1.... eng"
nlm.D002784_group_10_07cec7861423e95c3afb8614e5ca19bf,Cholesterol,transplacental cholesterol transport,mediated,ncbi.19,ABCA1,ABCA1,Our findings revealed the routes of transplacental cholesterol transport mediated by ABCA1 and SR-BI in pigs and indicated that ABCA1 related pathway may participate in anchoring the conceptus to the mesometrial side of uterus.,Standard Abstract,1,1,26852751,https://www.ncbi.nlm.nih.gov/pubmed/26852751,1,1,Cholesterol is a key cell membrane component and precursor of steroid hormones.... Our findings revealed the routes of transplacental cholesterol transport mediated by ABCA1 and SR-BI in pigs and indicated that ABCA1 related pathway may participate in anchoring the conceptus to the mesometrial side of uterus.... eng
nlm.D011453,Prostaglandins,prostaglandins,mediate,ncbi.3827,KNG1,bradykinin,"In porcine retinal arterioles, NO and prostaglandins mediate endothelium-dependent relaxation to bradykinin and NS309.",Standard Abstract,1,1,19255162,https://www.ncbi.nlm.nih.gov/pubmed/19255162,1,1,"Endothelial dysfunction and impaired vasodilation may be involved in the pathogenesis of retinal vascular diseases.... In porcine retinal arterioles, NO and prostaglandins mediate endothelium-dependent relaxation to bradykinin and NS309. ... eng"
nlm.D004921_group_2_482f64fe7d7e5eb7ecfa24e2cedd611a,Erythropoietin,erythropoietin,phosphorylates,ncbi.2623,GATA1,GATA-1,"Here, we show that erythropoietin activates AKT, which phosphorylates GATA-1 at Ser310, thereby increasing GATA-1 affinity for FOG-1.",Standard Abstract,1,1,26680303,https://www.ncbi.nlm.nih.gov/pubmed/26680303,1,1,"Tight coordination of cell proliferation and differentiation is central to red blood cell formation.... Here, we show that erythropoietin activates AKT, which phosphorylates GATA-1 at Ser310, thereby increasing GATA-1 affinity for FOG-1.... eng"
nlm.D053181,Caspase 8,Caspase-8 expression,decreased,ncbi.4313,MMP2,MMP-2,"Furthermore, combination of TRAIL and CXCR-7-shRNA significantly increased Caspase-3 and Caspase-8 expression and decreased MMP-2 and MMP-9 expression (P < 0.05).",Standard Abstract,1,1,25894375,https://www.ncbi.nlm.nih.gov/pubmed/25894375,1,1,"This study aims to investigate the effects of CXCR7-shRNA on TRAIL-mediated apoptosis and suppression of invasive migration and the underlying mechanisms.... Furthermore, combination of TRAIL and CXCR-7-shRNA significantly increased Caspase-3 and Caspase-8 expression and decreased MMP-2 and MMP-9 expression (P < 0.05).... eng"
nlm.D005973_group_0_d41d8cd98f00b204e9800998ecf8427e,Glutamine,the intracellular glutamine,inhibiting,ncbi.8226,PUDP,GS1,"Our results indicate that, in Drosophila, SPS1/SelD regulates the intracellular glutamine by inhibiting GS1 and l(2)01810 expression and that elevated levels of glutamine lead to a nutritional stress that provides a signal for megamitochondrial formation.",Standard Abstract,1,1,19755423,https://www.ncbi.nlm.nih.gov/pubmed/19755423,1,1,"Although selenophosphate synthetase 1 (SPS1/SelD) is an essential gene in Drosophila, its function has not been determined.... Our results indicate that, in Drosophila, SPS1/SelD regulates the intracellular glutamine by inhibiting GS1 and l(2)01810 expression and that elevated levels of glutamine lead to a nutritional stress that provides a signal for megamitochondrial formation.... eng"
nlm.D007334,Insulin-Like Growth Factor I,IGF-I,also acts,ncbi.5291,PIK3CB,PI3K,"Using rat L6 myoblasts, we show that IGF-I also acts through PI3K to inhibit apoptosis induced by hyperosmolar metabolic stress with 300 mM mannitol.",Standard Abstract,1,1,10919283,https://www.ncbi.nlm.nih.gov/pubmed/10919283,1,1,"In the critically ill, glucocorticoids induce myopathy, combining profound protein catabolism and mild myotubular death.... Using rat L6 myoblasts, we show that IGF-I also acts through PI3K to inhibit apoptosis induced by hyperosmolar metabolic stress with 300 mM mannitol.... eng"
chebi.81567,thyroid stimulating hormone,thyroid stimulating hormone,increased,ncbi.6862,TBXT,T(4),"At > or = 500 ppm, there was also increased thyroid stimulating hormone in females and increased T(3) and T(4) in animals of both sexes.",Standard Abstract,1,1,20507216,https://www.ncbi.nlm.nih.gov/pubmed/20507216,1,1,"A 13-week study was conducted to develop occupational exposure limits (OELs) for the solvent perfluoro-n-butyl iodide (PFBI).... At > or = 500 ppm, there was also increased thyroid stimulating hormone in females and increased T(3) and T(4) in animals of both sexes.... eng"
nlm.D016559,Tacrolimus,tacrolimus,encapsulated,ncbi.8091,HMGA2,lipo-tacrolimus,"We evaluated the pharmacokinetics of tacrolimus encapsulated in liposomes (lipo-tacrolimus), which is being developed as a potential orphan drug indication for hemorrhagic cystitis.",Standard Abstract,1,1,23127767,https://www.ncbi.nlm.nih.gov/pubmed/23127767,1,1,"The potent immunosuppressive effect of systemic tacrolimus is limited by the high incidence of severe adverse effects, including nephrotoxicity and hypertension.... We evaluated the pharmacokinetics of tacrolimus encapsulated in liposomes (lipo-tacrolimus), which is being developed as a potential orphan drug indication for hemorrhagic cystitis.... eng"
nal_thesaurus.6421,calcium,calcium,decreased,ncbi.8706,B3GALNT1,p,"In the contused hemispheres, calcium increased and magnesium decreased (p < 0.0001).",Standard Abstract,1,1,8408321,https://www.ncbi.nlm.nih.gov/pubmed/8408321,1,1,"We previously reported that the N-methyl-D-aspartate receptor antagonists dizocilpine maleate and ketamine improved the neurological severity score (NSS) after head trauma in rats.... In the contused hemispheres, calcium increased and magnesium decreased (p < 0.0001). ... eng"
nlm.D007074_group_5_6af69e54a3494f71d71c7b55f52fce2a,Immunoglobulin G,IgG substrate,increased significantly,ncbi.4948,OCA2,p,"The adhesion ability of irradiated human PBMCs to IgG substrate increased significantly (p < 0.05) at 6 h after irradiation of 2, 4, or 6 Gy compared with non-irradiated controls.",Standard Abstract,1,1,25068961,https://www.ncbi.nlm.nih.gov/pubmed/25068961,1,1,"The expression of adhesion molecules and their related functions of adhesion and migration were investigated in peripheral blood mononuclear cells (PBMCs) to identify radiation-related changes and dose-dependency.... The adhesion ability of irradiated human PBMCs to IgG substrate increased significantly (p < 0.05) at 6 h after irradiation of 2, 4, or 6 Gy compared with non-irradiated controls.... eng"
nal_thesaurus.24293,chalcone,This chalcone,also attenuated,ncbi.3576,CXCL8,interleukin-8,This chalcone also attenuated the secretion of interleukin-8 and chemokine (C-C motif) ligand 5 (CCL5) by lipopolysaccharide (LPS)-stimulated oral epithelial cells as well as the secretion of matrix metalloproteinase 2 (MMP-2) by LPS-stimulated gingival fibroblasts.,Standard Abstract,1,1,23859000,https://www.ncbi.nlm.nih.gov/pubmed/23859000,1,1,Chalcones are a group of plant-derived polyphenolic compounds possessing a wide variety of biological activities.... This chalcone also attenuated the secretion of interleukin-8 and chemokine (C-C motif) ligand 5 (CCL5) by lipopolysaccharide (LPS)-stimulated oral epithelial cells as well as the secretion of matrix metalloproteinase 2 (MMP-2) by LPS-stimulated gingival fibroblasts.... eng
chebi.63918,artesunate,artesunate,significantly reduced,ncbi.4948,OCA2,P,"Co-administration of artesunate and amodiaquine significantly reduced (P<0.05) total cholesterol and HDL-cholesterol concentrations in the serum while significantly increasing (P<0.05) serum LDL-cholesterol concentration, atherogenic index (LDL-C/HDL-C) and ACP activity in the heart compared to controls.",Standard Abstract,1,1,20863869,https://www.ncbi.nlm.nih.gov/pubmed/20863869,1,1,"The effects of co-administration of artesunate and amodiaquine on some cardiovascular disease indices were investigated in albino rats (Rattus novergicus).... Co-administration of artesunate and amodiaquine significantly reduced (P<0.05) total cholesterol and HDL-cholesterol concentrations in the serum while significantly increasing (P<0.05) serum LDL-cholesterol concentration, atherogenic index (LDL-C/HDL-C) and ACP activity in the heart compared to controls.... eng"
nlm.D020927,Dexmedetomidine,the dexmedetomidine group,achieved significantly,ncbi.4948,OCA2,P,"Furthermore, the patients in the dexmedetomidine group achieved significantly (P < 0.0001) greater levels of sedation during the surgery period and for 12 hours postoperatively together with significantly (P < 0.0001) lower values of verbal numeric rating scale of pain between the periods from 4 to 12 hours postoperatively compared with the patients in the levobupivacaine group.",Standard Abstract,1,1,26273747,https://www.ncbi.nlm.nih.gov/pubmed/26273747,1,1,"This study evaluated the motor and sensory block durations and the postoperative analgesic effects of adding dexmedetomidine to levobupivacaine for sub-Tenon's block anesthesia in patients undergoing vitreoretinal surgery.... Furthermore, the patients in the dexmedetomidine group achieved significantly (P < 0.0001) greater levels of sedation during the surgery period and for 12 hours postoperatively together with significantly (P < 0.0001) lower values of verbal numeric rating scale of pain between the periods from 4 to 12 hours postoperatively compared with the patients in the levobupivacaine group.... eng"
nlm.D019904,Polymethyl Methacrylate,PMMA,pre-exposed,ncbi.2335,FN1,fibronectin,"Adherence of S. aureus Wood 46 was studied on PMMA pre-exposed to fibronectin, using an assay specifically adapted to the cover slip model.",Standard Abstract,1,1,6469360,https://www.ncbi.nlm.nih.gov/pubmed/6469360,1,1,"Recent data suggest that fibronectin may favor Staphylococcus aureus infection by promoting attachment to either injured tissues or implanted foreign bodies.... Adherence of S. aureus Wood 46 was studied on PMMA pre-exposed to fibronectin, using an assay specifically adapted to the cover slip model.... eng"
nal_thesaurus.8711,testosterone,testosterone,increased,ncbi.93659,CGB5,hCG,"In Percoll purified Leydig cells from mature rat incubated for 24 h in Ham F12/DME medium, we demonstrated that the testosterone production (6 ng/10(6) Leydig cells/24 h) is increased 11 fold by a saturating amount of hCG whereas rat Leydig cells the basal output of testosterone is 4.5 ng and increased 2.5 fold by hCG.",Standard Abstract,1,1,9091180,https://www.ncbi.nlm.nih.gov/pubmed/9091180,1,1,"In Percoll purified Leydig cells from mature rat incubated for 24 h in Ham F12/DME medium, we demonstrated that the testosterone production (6 ng/10(6) Leydig cells/24 h) is increased 11 fold by a saturating amount of hCG whereas rat Leydig cells the basal output of testosterone is 4.5 ng and increased 2.5 fold by hCG. ... fre"
nlm.D005990,Glycerol,the glycerol content,repress,ncbi.9429,ABCG2,mxr1,"By RT-PCR, it was found that the overexpression of gt1 could increase the glycerol content in cells and repress the expression of mxr1 and aox1, and the deletion of gt1 reduced the glycerol content in cells and promoted the expression of aox1.",Standard Abstract,1,1,28334164,https://www.ncbi.nlm.nih.gov/pubmed/28334164,1,1,"In the methylotrophic yeast Pichia pastoris (P. pastoris), the efficient promoter of alcohol oxidase (PAox1) is induced by methanol and repressed by glycerol, but the molecular mechanism is not clear.... By RT-PCR, it was found that the overexpression of gt1 could increase the glycerol content in cells and repress the expression of mxr1 and aox1, and the deletion of gt1 reduced the glycerol content in cells and promoted the expression of aox1.... eng"
nlm.D004111,Dimenhydrinate,DMH auto-oxidation,induced,ncbi.3630,INS,insulin,"The proliferative stimulus induced by DMH auto-oxidation complements that induced by insulin, PMA, and EGF.",Standard Abstract,1,1,9168957,https://www.ncbi.nlm.nih.gov/pubmed/9168957,1,1,"Activation of 1,2-dimethylhydrazine (DMH) by prolonged auto-oxidation (24-h) induced proliferation of mouse fibroblasts at low hydrazine concentrations (0.1-1.0 mM) as determined by [3H-methyl]-thymidine uptake of confluent quiescent cells.... The proliferative stimulus induced by DMH auto-oxidation complements that induced by insulin, PMA, and EGF.... eng"
nlm.D011078_group_0_d41d8cd98f00b204e9800998ecf8427e,Polychlorinated Biphenyls,PCBs,may also modify,ncbi.1401,CRP,CRP,"In the current study, OC pesticides were associated with increased levels of CRP, a marker of inflammation, and both OC pesticides and PCBs may also modify the associations between CRP and insulin resistance.",Standard Abstract,1,1,22509446,https://www.ncbi.nlm.nih.gov/pubmed/22509446,1,1,"Chronic inflammation is now thought to play a key pathogenetic role in the associations of obesity with insulin resistance and diabetes.... In the current study, OC pesticides were associated with increased levels of CRP, a marker of inflammation, and both OC pesticides and PCBs may also modify the associations between CRP and insulin resistance. ... eng"
nal_thesaurus.7802,phenylalanine,Phenylalanine,inhibits,ncbi.3667,IRS1,IRS-1,Phenylalanine inhibits phosphorylation of IRS-1 at Ser636/639 possibly through inhibiting the activation of p70S6K.The effect of Phe on mTOR-p70S6K pathway is Akt-independent.,Standard Abstract,1,1,30014636,https://www.ncbi.nlm.nih.gov/pubmed/30014636,1,1,To investigate the influence of phenylalanine(Phe) on glucose uptake in mouse myoblast cell line C2C12 and to explore its relationship with mTOR-p70S6K pathway.... Phenylalanine inhibits phosphorylation of IRS-1 at Ser636/639 possibly through inhibiting the activation of p70S6K.The effect of Phe on mTOR-p70S6K pathway is Akt-independent.... chi
nal_thesaurus.10432,nalidixic acid,nalidixic acid,prevented,ncbi.55363,HEMGN,NDR,"This scheme was also observed in cultured tobacco cells (BY-2), where inhibition of ODR by nalidixic acid prevented CDKA activation and NDR, and these inhibitions were circumvented by Mg-ProtoIX without inducing ODR.",Standard Abstract,1,1,19141634,https://www.ncbi.nlm.nih.gov/pubmed/19141634,1,1,"Eukaryotic cells arose from an ancient endosymbiotic association of prokaryotes, with plant cells harboring 3 genomes as the remnants of such evolution.... This scheme was also observed in cultured tobacco cells (BY-2), where inhibition of ODR by nalidixic acid prevented CDKA activation and NDR, and these inhibitions were circumvented by Mg-ProtoIX without inducing ODR.... eng"
nal_thesaurus.18118,heme,Heme-binding protein 23,also termed,ncbi.5052,PRDX1,Prx I,"Heme-binding protein 23 (HBP23), also termed peroxiredoxin I (Prx I), is an antioxidant protein that is induced by various oxidative stress stimuli.",Standard Abstract,1,1,12042073,https://www.ncbi.nlm.nih.gov/pubmed/12042073,1,1,"Heme-binding protein 23 (HBP23), also termed peroxiredoxin I (Prx I), is an antioxidant protein that is induced by various oxidative stress stimuli.... eng"
nlm.D007987,Gonadotropin-Releasing Hormone,GnRH-T calves,increased,ncbi.8706,B3GALNT1,P,"However, LH pulse frequency in GnRH-T calves increased with age (P less than or equal to 0.01), and at 4-6 wk of age, the rate of pulsatile LH secretion was greater (p less than or equal to 0.01) in GnRH-T calves than in controls.",Standard Abstract,1,1,1849754,https://www.ncbi.nlm.nih.gov/pubmed/1849754,1,1,"The transition from infantile to prepubertal development in bull calves coincides with the onset of postnatal LH secretion following differentiation of pituitary gonadotropes.... However, LH pulse frequency in GnRH-T calves increased with age (P less than or equal to 0.01), and at 4-6 wk of age, the rate of pulsatile LH secretion was greater (p less than or equal to 0.01) in GnRH-T calves than in controls.... eng"
nlm.D007785,Lactose,lactose-HEY-G,exhibited,ncbi.8706,B3GALNT1,P,"Furthermore, spermatozoa frozen in lactose-HEY-G or lactose-LPFo-G extender exhibited lower (P<0.05) DNA fragmentation than those frozen in the absence of cryoprotective substances.",Standard Abstract,1,1,16889911,https://www.ncbi.nlm.nih.gov/pubmed/16889911,1,1,"Whole ejaculate or sperm-rich fraction, collected from four sexually mature boars, was frozen in an extender containing lactose-hen egg yolk with glycerol (lactose-HEY-G) or extender containing lactose, lyophilized lipoprotein fractions isolated from ostrich egg yolk and glycerol (lactose-LPFo-G), and Orvus Es Paste, respectively.... Furthermore, spermatozoa frozen in lactose-HEY-G or lactose-LPFo-G extender exhibited lower (P<0.05) DNA fragmentation than those frozen in the absence of cryoprotective substances.... eng"
nlm.D006160_group_1_65df53ef440211f6df781a435c3372a1,Guanosine Triphosphate,GTP,impairing,ncbi.5894,RAF1,Raf,"Binding of these inhibitors to K-Ras(G12C) disrupts both switch-I and switch-II, subverting the native nucleotide preference to favour GDP over GTP and impairing binding to Raf.",Standard Abstract,1,1,24256730,https://www.ncbi.nlm.nih.gov/pubmed/24256730,1,1,"Somatic mutations in the small GTPase K-Ras are the most common activating lesions found in human cancer, and are generally associated with poor response to standard therapies.... Binding of these inhibitors to K-Ras(G12C) disrupts both switch-I and switch-II, subverting the native nucleotide preference to favour GDP over GTP and impairing binding to Raf. ... eng"
nlm.D003545_group_0_d41d8cd98f00b204e9800998ecf8427e,Cysteine,L-cysteine,bound,ncbi.170589,GPHA2,a 2,"The monothiols glutathione and L-cysteine bound in a 2:1 ratio with PMX464 with K(d) values of 6 and 27 μM, respectively, whereas T(SH)(2) bound more tightly in a 1:1 ratio with a K(d) value of 430 nM.",Standard Abstract,1,1,21212280,https://www.ncbi.nlm.nih.gov/pubmed/21212280,1,1,"Better drugs are urgently needed for the treatment of African sleeping sickness.... The monothiols glutathione and L-cysteine bound in a 2:1 ratio with PMX464 with K(d) values of 6 and 27 μM, respectively, whereas T(SH)(2) bound more tightly in a 1:1 ratio with a K(d) value of 430 nM.... eng"
nlm.D014157,Transcription Factors,other transcription factors,may compete,ncbi.9044,BTAF1,Mot1,"We also show using purified complexes that Mot1 dissociation of a stable, high affinity TBP-DNA interaction is surprisingly inefficient, suggesting how other transcription factors that bind to TBP may compete with Mot1.",Standard Abstract,1,1,27255709,https://www.ncbi.nlm.nih.gov/pubmed/27255709,1,1,"The essential Saccharomyces cerevisiae ATPase Mot1 globally regulates transcription by impacting the genomic distribution and activity of the TATA-binding protein (TBP).... We also show using purified complexes that Mot1 dissociation of a stable, high affinity TBP-DNA interaction is surprisingly inefficient, suggesting how other transcription factors that bind to TBP may compete with Mot1. ... eng"
nlm.D000249,Adenosine Monophosphate,5'-AMP,allowed,ncbi.23038,WDTC1,ADP-ribose,"Antibodies highly specific against 5'-AMP allowed quantification of ADP-ribose converted to 5'-AMP in the range of 1-40 pmol, and in the presence of large quantities of nucleic acids or 3'-AMP.",Standard Abstract,1,1,620664,https://www.ncbi.nlm.nih.gov/pubmed/620664,1,1,"A specific and sensitive radioimmunoassay for ADP-ribose has been developed on the basis of the selective conversion of ADP-ribose to 5'-AMP by alkaline treatment. Antibodies highly specific against 5'-AMP allowed quantification of ADP-ribose converted to 5'-AMP in the range of 1-40 pmol, and in the presence of large quantities of nucleic acids or 3'-AMP.... eng"
chebi.38859,perfluoro-N-methyldecahydroisoquinoline,FMIQ,coupled,ncbi.1048,CEACAM5,anti-CEA,A mixture of perfluoromethyldecahydroisoquinoline (FMIQ) emulsion coupled with anti-CEA (carcinoembryonic antigen) antibody and perfluorotripropylamine (FTPA) was injected into a nude mouse inoculated with human colon carcinoma LS174T.,Standard Abstract,1,1,1823176,https://www.ncbi.nlm.nih.gov/pubmed/1823176,1,1,A mixture of perfluoromethyldecahydroisoquinoline (FMIQ) emulsion coupled with anti-CEA (carcinoembryonic antigen) antibody and perfluorotripropylamine (FTPA) was injected into a nude mouse inoculated with human colon carcinoma LS174T.... eng
nlm.D000906_group_30_8611b23d8360560c11a88f0a393acb90,Antibodies,antibodies,targeted,ncbi.7054,TH,anti-tyrosine hydroxylase,The ratio of afferent to efferent nerve fibers was investigated by dual immunofluorescence staining using antibodies targeted for anti-tyrosine hydroxylase and anti-calcitonin gene-related peptide.,Standard Abstract,1,1,25125292,https://www.ncbi.nlm.nih.gov/pubmed/25125292,1,1,"Although renal sympathetic denervation therapy has shown promising results in patients with resistant hypertension, the human anatomy of peri-arterial renal nerves is poorly understood.... The ratio of afferent to efferent nerve fibers was investigated by dual immunofluorescence staining using antibodies targeted for anti-tyrosine hydroxylase and anti-calcitonin gene-related peptide. ... eng"
nal_thesaurus.2534,aspirin,aspirin-treated PRP,stimulated,ncbi.7186,TRAF2,TRAP,"In contrast, only additive effects of SIN-1 and iloprost were observed when platelet aggregation was measured in aspirin-treated PRP stimulated by ADP, TRAP, or collagen.",Standard Abstract,1,1,8547213,https://www.ncbi.nlm.nih.gov/pubmed/8547213,1,1,"The interaction of three antiplatelet drugs was studied in vitro: aspirin, an inhibitor of the cyclooxygenase pathway of platelet activation; iloprost, a stable analog of prostacyclin that increases platelet cAMP; and the nitrix oxide donors SIN-1 and sodium nitroprusside (SNP), which both raise platelet cGMP.... In contrast, only additive effects of SIN-1 and iloprost were observed when platelet aggregation was measured in aspirin-treated PRP stimulated by ADP, TRAP, or collagen. ... eng"
nal_thesaurus.3990,lipids,both lipids,comprised,ncbi.27241,BBS9,n-C18-phytosphingosine,Long-chain base compositions of both lipids were almost identical and comprised n-C18-phytosphingosine and small amounts of its homologs (C17-C19).,Standard Abstract,1,1,3235449,https://www.ncbi.nlm.nih.gov/pubmed/3235449,1,1,"Melibiosylceramide (Gal alpha 1-6Glc beta 1-1Cer) was found as the sole ceramide dihexoside from the eggs of the sea urchin, Anthocidaris crassispina.... Long-chain base compositions of both lipids were almost identical and comprised n-C18-phytosphingosine and small amounts of its homologs (C17-C19).... eng"
